"","SRR2166176","SRR2167642"
"PPIP5K1",28.2881764231756,21.7383328954814
"AMY1A",0.0119278525808889,0.0122443938354995
"SMIM5",0.204372576710852,0.245761279827043
"CT45A2",0,0
"MIR5787",0,0
"DEFB130A",0,0
"ZNF679",0,0
"SNORD88A",0,0.337057214922267
"AIDA",13.6617175883199,9.34951475891422
"R3HCC1L",4.65216312450585,6.11554496478397
"LINC02201",0,0
"COPA",28.6854423441275,28.226107928387
"PTPRD-AS1",4.64841902063717,4.93165791087749
"BSX",0,0
"HIST1H3A",0.145397911022514,0.0746282398003074
"MRPL20",6.08731196778763,12.5527215504282
"SMARCA1",18.0385054007892,15.093565775812
"FLJ42969",0.0306768693173784,0.0629819436507728
"FAAH",10.7849529022179,14.0212644531731
"DYNLL1",36.6695547599575,38.5243744187144
"LOC101928739",0,0
"FAM84A",1.42553772495833,1.12313542620269
"ASTE1",3.28698134216595,3.62481577355126
"PTHLH",0.345067088507532,0.281563045097932
"MYL6B",30.2184953289528,30.6251488614582
"TRIM65",9.28659361192106,8.26877457898014
"LRRC8B",0.979011340555441,2.73581246895559
"KRTAP9-3",0,0
"NUDT18",4.42403780520097,3.68555557159593
"CLPS",3.38068287625392,3.16418769815546
"ATP5MGL",0.14958333274156,0.191941217508926
"HSPB2-C11orf52",11.731025625764,7.19857909012557
"AMOTL1",2.34329706555103,1.63829623468346
"GYS2",0.0953999703548103,0.186070218582567
"LINC01815",0.057460135990628,0
"DNAAF3",0.0633418821943931,0.018577956727999
"LRRC52-AS1",0,0.00759965474676074
"CMC1",6.08305198215134,7.03341410819571
"TMEM191C",0.375315333476817,0.470892215125177
"SLC11A1",1.23980376411314,0.159088208288
"CITED2",16.8667599184797,16.5642014902569
"HHEX",0.402334734381903,0.388717073209363
"DENND2A",3.09936491100963,3.26502898091368
"PTCD2",1.49704641552471,2.00008610654245
"ACTR3",7.73453775089051,8.46674072633936
"HLA-DQB1-AS1",0.649549363372317,0.833483873856694
"COX20",95.3323195370167,70.5889556351619
"UQCRC2",43.1207646567353,38.7679758564244
"DNM1",77.0982240085999,69.4287812480578
"RAB19",0,0
"ERF",2.5662620978394,2.51335228244009
"PET117",14.6384858280068,13.4678137471701
"MIR3180-3",0,0
"TGFA-IT1",0,0
"MX2",0.11679641346451,0.0728779338771914
"MIR16-2",0,0
"MEA1",19.6725776884718,25.4052619974743
"GALE",3.43258590166235,3.26152422674782
"MIR126",0,0
"SNN",80.1201096681882,56.8343392650948
"CASD1",19.5510538221346,17.1603750975763
"NOP10",32.0366187812007,23.8069473283544
"NAA20",14.285711924404,16.4204742178798
"COX19",7.08972230068413,7.12843775651554
"MIR5701-3",0,0
"KDM7A",6.72045951079358,7.79978274930088
"SPIRE1",22.4597702405498,19.2851733517152
"RPL36A-HNRNPH2",36.800943499494,46.2951722003809
"CLCN4",20.9977906292339,25.8786859867141
"CSNK2A1",14.1614006729871,14.9886506331524
"ZNF235",5.03891524833492,4.0612889965663
"LOC101927851",0,0
"GATA5",0,0.0118197327776209
"SLC7A6",12.0533009566424,13.62625307153
"COMT",4.88727350217061,6.24502421947912
"FGFBP2",0.0478068331442025,0.0981510609853643
"PIWIL1",0.00565895278695579,0.00580913002991029
"ZNF224",19.1960855213736,13.2118457301879
"BBS12",0.400479735692256,0.57197587986809
"TAC3",0.0189830182434095,0.0389735788537819
"C7orf33",0,0
"LCNL1",2.16794313678362,2.42228679628244
"EDN1",5.86415593474447,2.21781326316536
"DBNL",6.45204240912958,6.85232738864613
"CASS4",0.0707341188758175,0.0786621987084321
"SLC39A8",2.14411433372436,1.9596131967564
"TIGD3",1.21774363749522,1.90557943327077
"KCNG3",0,0
"PRNCR1",0.138514730273628,0.200030890571846
"VSTM1",0,0.0276077466768014
"MIR4772",0,0
"FRK",0.0564612069446836,0.0927353183913116
"MIR3663HG",0,0
"FXYD3",0.0985818769845208,0.211595906068478
"SPOUT1",12.1455690017726,12.0872401197141
"CPNE8",0.79631891824787,1.13732399751291
"LOC105274304",0.243628299366204,0.21436603301987
"LOC284788",0,0
"OR2AE1",0.0557969574512168,0
"PDCD1LG2",0.0631697055288088,0.0648461026594637
"HIPK3",14.0760726201319,13.0274011266387
"GPD1",2.88985179053843,4.05017611025487
"MRPL3",10.1358410050208,12.664288600897
"MIR4516",0,0.35665356462705
"FGD4",1.94809809065601,0.932084177082529
"RAD9B",0.122224833007126,0.212331197065569
"NXF2B",0.146769944050518,0.023789198467885
"BANP",1.23122822667188,1.43693682917928
"PCDHB1",0.010918125718073,0.011207870849425
"RTN2",10.1781456450848,6.76342047015423
"NOSIP",3.69974020625155,3.29971713676373
"RAB15",55.2210408535098,45.4934874614596
"THAP3",5.91421714056779,7.02025945775721
"BRAT1",7.31342294202149,5.79810502036414
"MIR615",0,0
"PLAC9",2.36142623393742,0.717333863048277
"PPP1CC",20.4906206352215,18.4184246446163
"CORO2A",6.58525119836619,5.79965983717306
"CA6",0.0112243691642098,0
"HYLS1",2.33136023585849,3.00687853552195
"MIR548AD",0,0
"KRTAP13-2",0,0
"MIR4267",0,0
"MYOD1",0.0165903779650897,0.0170306532803589
"CTU1",1.14534818265938,1.38149852249405
"LOC102724710",0.050901653688461,0.209009925437317
"FLJ31104",0.639617415920141,0.334995702904394
"CREM",2.15483071835708,2.26583592926601
"TSSK2",2.33637469248236,2.85440688782464
"MIR6761",0,0
"PTDSS2",4.22308030392105,5.03760762050679
"CCBE1",0.1317468223717,0.10726178361446
"C19orf71",21.3233371127239,10.0116994699463
"MFAP3",3.40444111236626,4.17966420749706
"MERTK",0.902735413095314,1.24646626650296
"LINC00587",0,0
"LINC02226",0.0188275177789077,0.0773086491693165
"TNNT1",0.990929291335382,1.27153320599418
"PURG",12.1387013353418,7.06819079788862
"NAPG",17.287827237968,17.9003568526387
"DNASE1",5.90830590403452,5.12944371680994
"ATF4",96.9471802797484,78.8034137460804
"METTL22",3.53309525296384,2.57521676092112
"KIAA1549",0.199563810200009,0.273969174211783
"BUD31",16.2635593644704,12.7661304909303
"LRRIQ4",0,0
"PCGF1",4.13695494115864,5.08675620359676
"LAMP2",15.0856252796242,16.9735084426599
"COMMD6",8.34391784899462,8.00420716527177
"LOC728485",1.4429501467305,1.27177441825548
"KIF16B",0.746885021113772,1.10834679829834
